,Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Correspondence Address,Document Type,Source
10,Ganivada R.; Manyala G.; Surakasi R.; Rao D.B.C.; Krishna M.J.,58818059300; 58818060500; 57222898698; 58355308700; 58817961400,Corn Oil Biodiesel Dispersed with Nanopowder as Cutting Fluid in Metal Cutting Process on CNC Milling Machine,2023,International Journal of Vehicle Structures and Systems,0.0,10.4273/ijvss.15.7.23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182593373&doi=10.4273%2fijvss.15.7.23&partnerID=40&md5=b63d8ac8c419d6d9b5e529a195de93e1,"Dept. of Mech. Engg, Lendi Inst. of Engg. and Tech, Andhra Pradesh, Denkada, India; Dept. of Mech. Engg, Aditya Inst. of Tech. and Management, Andhra Pradesh, Tekkali, India; Dept. of Mech. Engg, Sri Sivani College of Engg, Andhra Pradesh, Chilakapalem, India","R. Ganivada; Dept. of Mech. Engg, Lendi Inst. of Engg. and Tech, Denkada, Andhra Pradesh, India; email: ravi.ganivada@gmail.com",Article,Scopus
11,Zhang X.; She D.; Chen F.; Shi L.,57211378605; 37100349200; 8314082100; 56422894500,Computational verification of 3D thermal analysis program based on SANA experiment; [基于 SANA 实验的三维热工分析程序计算验证],2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,0.0,10.11990/jheu.202309028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184048276&doi=10.11990%2fjheu.202309028&partnerID=40&md5=a19b186b52c56bd0d413c38eaf03d5aa,"Institute of Nuclear and New Energy Technology, Tsinghua University, Beijing, 100084, China","L. Shi; Institute of Nuclear and New Energy Technology, Tsinghua University, Beijing, 100084, China; email: shlinet@tsinghua.edu.cn",Article,Scopus
12,Ivanova T.,56209344000,USING DOMAIN ONTOLOGY UNCERTAINTY OR ONTOLOGY MAPPING UNCERTAINTY TO IMPROVE LEARNING,2023,Journal of Theoretical and Applied Information Technology,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182699240&partnerID=40&md5=c5efcff4f0244426d5031fbb8840f1e7,"Technical University of Sofia, Technical College of Sofia, Sofia, Bulgaria","T. Ivanova; Technical University of Sofia, Technical College of Sofia, Sofia, Bulgaria; email: t.ivanova@tu-sofia.bg",Article,Scopus
13,Abujreiban T.,58804260800,Impact of Using Some Active Learning Strategies in a Curricula and Teaching Methods Course on the Learning Motivation Level and the Development of Critical Thinking Skills Among the Students of the Faculty of Arts at Al-Zaytoonah University,2023,Journal of Higher Education Theory and Practice,0.0,10.33423/jhetp.v23i20.6691,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181960387&doi=10.33423%2fjhetp.v23i20.6691&partnerID=40&md5=f7a4c49d01de8fcb45a4bddfaaf421d5,"Al-Zaytoonah University of Jordan, Jordan",,Article,Scopus
14,Kolibaba L.; Romanyuk S.; Fursa V.,57571188900; 57218899923; 58852454500,TRENDS IN THE USE OF PATRONYMS IN UKRAINIAN LITERARY LANGUAGE OF THE 21ST CENTURY — EUROPEANIZATION VS. TRADITION; [TЕНДЕНЦІЇ ВЖИВАННЯ ПАТРОНІМІВ В УКРАЇНСЬКОМУ ПУБЛІЦИСТИЧНОМУ ТА НАУКОВОМУ ДИСКУРСАХ ХХІ СТ. — ЄВРОПЕЇЗАЦІЯ VS ТРАДИЦІЯ],2023,Onomastica,0.0,10.17651/ONOMAST.67.6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183532606&doi=10.17651%2fONOMAST.67.6&partnerID=40&md5=4a35a45a6f28f2e41a31f1eedc10e4aa,,,Article,Scopus
15,Öztürk Y.; Senel A.A.; Limoncu C.; Gülsu M.,36704975900; 57279304700; 58805406600; 55909606900,A Numerical Application of the Chebyshev Operational Matrix Method for HIV Infection of CD4+T-cells; [CD4+T Hücrelerindeki HIV Enfeksiyonunun Yayılım Modelinin Chebyshev Operasyonel Matris Metodu ile bir Nümerik Uygulaması],2023,Adiyaman University Journal of Science,0.0,10.37094/adyujsci.1351204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181948780&doi=10.37094%2fadyujsci.1351204&partnerID=40&md5=0f0e939c8a250d05abec63902acb6bb3,"Muğla Sıtkı Koçman University, Ula Ali Koçman Vocational High School, Mugla, 48600, Turkey; Muğla Sıtkı Koçman University, Faculty of Science, Department of Mathematics, Mugla, 48000, Turkey","Y. Öztürk; Muğla Sıtkı Koçman University, Ula Ali Koçman Vocational High School, Mugla, 48600, Turkey; email: yozturk@mu.edu.tr",Article,Scopus
16,Muljo H.H.; Suparyanto T.; Budiarto A.; Lie Y.; Pardamean B.,55625731500; 55869147900; 57170903800; 56303749500; 55009925500,Assessment of Team-Based Learning in Computerized Accounting Course,2023,Journal of Higher Education Theory and Practice,0.0,10.33423/jhetp.v23i20.6690,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181932613&doi=10.33423%2fjhetp.v23i20.6690&partnerID=40&md5=df06f0a50c62d19b11b66157585de095,"Bina Nusantara University, Indonesia",,Article,Scopus
17,Dillasamola D.; Fitria N.; Husni E.; Aldi Y.,57074102600; 58810109000; 56515066400; 56737131800,Subacute Toxicity Test of Ethanol Extract of Sungkai Leaves (Peronema canescens Jack.) on Renal Histology of Male Wistar Rats,2023,Tropical Journal of Natural Product Research,0.0,10.26538/tjnpr/v7i12.22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182182668&doi=10.26538%2ftjnpr%2fv7i12.22&partnerID=40&md5=8b2978ffd6a0cb34adaed3eaab2afb1f,"Faculty of Pharmacy, Universitas Andalas, Padang, 25163, Indonesia","D. Dillasamola; Faculty of Pharmacy, Universitas Andalas, Padang, 25163, Indonesia; email: dwisaridillasamola@phar.unand.ac.id",Article,Scopus
18,Menad N.,55891699900,Combining common heuristic sets for a new exhaustive usability evaluation of e-learning interface design,2023,Information Design Journal,,10.1075/idj.23005.men,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185173841&doi=10.1075%2fidj.23005.men&partnerID=40&md5=1d2cf16247880ffc3e497ac7cf5b0e19,"Computer Science Department, Faculty of Mathematics and Informatics, Mohamed Boudiaf Oran University of Science and Technology, Algeria","N. Menad; Computer Science Department, Faculty of Mathematics and Informatics, Mohamed Boudiaf Oran University of Science and Technology, Algeria; email: nadia.menad@gmail.com",Article,Scopus
19,Vijaykumar S.; Jin Y.; Raamkumar A.S.,26540561000; 27169729500; 56613374900,Understanding contemporary infodemics through the risk amplification through media spread (rams) model,2023,Communicating Risk and Safety,0.0,10.1515/9783110752427-024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182838880&doi=10.1515%2f9783110752427-024&partnerID=40&md5=f821e08eba5bbda7fb06cf3721323f5e,"Northumbria University's, Department of Psychology, United Kingdom; Grady College of Journalism and Mass Communication, University of Georgia (UGA), United States; Institute of High Performance Computing (IHPC), Agency for Science, Technology and Research (A STAR), Singapore",,Book chapter,Scopus
20,Wen J.-Y.; Fang M.-E.,57451822000; 58882182100,A review of computer-aided classification prediction of Parkinson’s disease based on machine learning; [基于机器学习的计算机辅助帕金森疾病分类预测研究综述],2023,Journal of Graphics,,10.11996/JG.j.2095-302X.2023061065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184818271&doi=10.11996%2fJG.j.2095-302X.2023061065&partnerID=40&md5=f750a61df7a56f3c950ad538c4bf0c0e,"Metaverse Research Institute, School of Computer Science and Cyber Engineering, Guangzhou University, Guangdong, Guangzhou, 511400, China","M.-E. Fang; Metaverse Research Institute, School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, Guangdong, 511400, China; email: fme@gzhu.edu.cn",Article,Scopus
21,Zhou G.; Wang H.; Peng M.,57846175300; 57007358200; 57643260100,Hybrid neural network for evaluating the fault degree of nuclear power plants; [混合神经网络的核电站故障程度评估方法],2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,0.0,10.11990/jheu.202309018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184045293&doi=10.11990%2fjheu.202309018&partnerID=40&md5=2613cf8ff7d50bc947bf3fed0fa7b2fb,"Fundamental Science on Nuclear Safety and Simulation Technology Laboratory, Harbin Engineering University, Harbin, 150001, China","H. Wang; Fundamental Science on Nuclear Safety and Simulation Technology Laboratory, Harbin Engineering University, Harbin, 150001, China; email: heuwanghang@hrbeu.edu.cn",Article,Scopus
22,Karthik T.S.; Bizotto B.L.S.; Sathiyanarayanan M.,57213565352; 48361034900; 55613534100,INDUSTRY 5.0: AN OVERALL ASSESSMENT OF USING ARTIFICIAL INTELLIGENCE IN INDUSTRIES,2023,Journal of Theoretical and Applied Information Technology,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182565031&partnerID=40&md5=cecab227ff35bfbc7ba6c0e03a652f9f,"Univfacvest University Centre, Brazil; Metharath University, MIT Square, London, United Kingdom",,Article,Scopus
23,Johansson B.; Sandstig G.,57215649495; 56131655100,Instruction as self-protection,2023,Communicating Risk and Safety,0.0,10.1515/9783110752427-019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182848672&doi=10.1515%2f9783110752427-019&partnerID=40&md5=bad1e213378dc2484d43196524f6c17f,"University of Gothenburg, Sweden",,Book chapter,Scopus
24,Hančlová J.; Chytilová L.,53979933200; 56557016400,EDUCATION PERFORMANCE OF CZECH PUBLIC HIGHER EDUCATION INSTITUTIONS USING DATA ENVELOPMENT AND PANEL REGRESSION ANALYSIS,2023,Journal on Efficiency and Responsibility in Education and Science,0.0,10.7160/eriesj.2023.160405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181960596&doi=10.7160%2feriesj.2023.160405&partnerID=40&md5=692321825918f9bf3739343a8ff5aa99,"VŠB-TU, Ostrava, Czech Republic; Czech University of Life Sciences, Prague, Czech Republic","L. Chytilová; Czech University of Life Sciences, Prague, Czech Republic; email: chytilova@pef.czu.cz",Article,Scopus
25,Song H.; Huang M.; Yao Y.; You W.; Ying Y.; Lü Y.,57222066755; 7404260342; 57964370900; 57576695800; 57204640169; 55506501500,Influence of Electric Field Distribution on Breakdown Characteristics of Oil-paper Composite Insulation Under DC Voltage; [直流电压下油纸复合绝缘电场分布对击穿特性的影响],2023,Gaodianya Jishu/High Voltage Engineering,0.0,10.13336/j.1003-6520.hve.20221466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184012328&doi=10.13336%2fj.1003-6520.hve.20221466&partnerID=40&md5=016fbc1fdff2230a9c8683234c523ae0,"State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, 102206, China; Jiaxing Power Supply Company of State Grid Zhejiang Electric Power Co.,Ltd., Jiaxing, 314000, China; Taizhou Power Supply Company of State Grid Zhejiang Electric Power Co., Ltd., Taizhou, 318000, China; School of Energy Power and Mechanical Engineering, North China Electric Power University, Beijing, 102206, China","M. Huang; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, 102206, China; email: huang_m2011@163.com",Article,Scopus
26,Zhang Z.; Tian Z.,58860843200; 7202984897,Modeling and simulation of the start-up process of a high-pressure feed water heater in a nuclear power plant; [核电高压给水加热器启动过程建模与仿真],2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,1.0,10.11990/jheu.202309007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184070970&doi=10.11990%2fjheu.202309007&partnerID=40&md5=698d8631a683eafd5e887eb8a6f4b03a,"College of Nuclear Science and Technology, Harbin Engineering University, Harbin, 150001, China","Z. Tian; College of Nuclear Science and Technology, Harbin Engineering University, Harbin, 150001, China; email: tian_zf@hrbeu.edu.cn",Article,Scopus
27,Klein J.C.; Powell E.N.; Kreeger D.A.; Ashton-Alcox K.A.; Bushek D.; Zhang X.; Thomas R.L.; Klinck J.M.; Hofmann E.E.,58804934900; 7102407889; 55403995600; 6603097894; 6701406135; 58804475000; 35615472000; 7003912738; 7102346496,Modeling Performance and Settlement Windows of Larval Eastern Oyster (Crassostrea virginica) in Delaware Bay,2023,Journal of Shellfish Research,0.0,10.2983/035.042.0308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181914015&doi=10.2983%2f035.042.0308&partnerID=40&md5=64fa77f05e78569b6e0aaf382a9e6795,"Division of Coastal Sciences, The University of Southern Mississippi, 703 East Beach Dr., Ocean Springs, 39564, MS, United States; The Academy of Natural Sciences, Drexel University, 1900 Benjamin Franklin Parkway, Philadelphia, 19103, PA, United States; Haskin Shellfish Research Laboratory, Rutgers University, 6959 Miller Ave., Port Norris, 08349, NJ, United States; Division of Marine Science, The University of Southern Mississippi, Stennis Space Center, 1020 Balch Blvd., 39556, MS, United States; Center for Coastal Physical Oceanography, Old Dominion University, 4111 Monarch Way, Norfolk, 23508, VA, United States","J.C. Klein; Division of Coastal Sciences, The University of Southern Mississippi, Ocean Springs, 703 East Beach Dr., 39564, United States; email: james.klein@usm.edu",Article,Scopus
28,Kaushik D.; Lipton Z.C.; London A.J.,57201685485; 56358302800; 7005248959,Resolving the Human-subjects Status of Machine learning’s Crowdworkers,2023,Queue,0.0,10.1145/3639452,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183320089&doi=10.1145%2f3639452&partnerID=40&md5=931c1bcf9414eae39ad3a0e75f8b4759,"U.S.-China strategic, United States; Carnegie Mellon University, United States; Carnegie Mellon University (CMU), United States",,Article,Scopus
29,Wang D.-F.; Wang J.; Shi Y.-K.; Deng Z.-W.; Jia Z.-Y.,57192075634; 58610510400; 58884790600; 58175394200; 58884375700,Research on image privacy detection based on deep transfer learning; [基于深度迁移学习的图像隐私目标检测研究],2023,Journal of Graphics,,10.11996/JG.j.2095-302X.2023061112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184908002&doi=10.11996%2fJG.j.2095-302X.2023061112&partnerID=40&md5=00d31212eb7809faaa3344324a9b3c8c,"Library of China University of Mining and Technology, Jiangsu, Xuzhou, 221116, China; Zhuji Integrated Media Center, Zhejiang, Zhuji, 311800, China","D.-F. Wang; Library of China University of Mining and Technology, Xuzhou, Jiangsu, 221116, China; email: wdf@cumt.edu.cn",Article,Scopus
30,Atoe K.; Idu M.; Ikhajiagbe B.; Bakre A.G.,57412175300; 8974466300; 16042377700; 55831435500,The Influence of Methanol Extracts of Some Plant Species Used in the Management of Pregnancy-Related Symptoms on the Reproductive Parameters of Pregnant Wistar Rats,2023,Tropical Journal of Natural Product Research,0.0,10.26538/tjnp/rv7i12.43,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182164904&doi=10.26538%2ftjnp%2frv7i12.43&partnerID=40&md5=0e627fa5e626933b2fba08623989e8ea,"Department of Chemical Pathology, Edo State University Uzairue, Edo State, Nigeria; Department of Plant Biology and Biotechnology, University of Benin, Benin City, Nigeria; Department of Pharmacology and Therapeutics, University of Ibadan, Nigeria","K. Atoe; Department of Chemical Pathology, Edo State University Uzairue, Edo State, Nigeria; email: atoe.kenneth@edouniversity.edu.ng",Article,Scopus
31,Rahman M.A.; Hasan N.A.H.M.; Mondal M.; Uddin M.; Wahed T.B.; Alam K.K.M.,57210852358; 58809532200; 57197946166; 57642219600; 55292025800; 58127231200,"Evaluation of Antioxidant, Cytotoxic and Hepato-protective Effect of Bridelia tomentosa Fruit Extract",2023,Tropical Journal of Natural Product Research,0.0,10.26538/tjnpr/v7i12.14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182144075&doi=10.26538%2ftjnpr%2fv7i12.14&partnerID=40&md5=bc22cfa7e4d48523ecf6287e7282ec72,"Department of Pharmacy, Faculty of Biological Sciences, Jahangirnagar University, Savar, Dhaka, 1342, Bangladesh; Department of Pharmacy, School of Medicine, University of Asia Pacific, 74/A, Green Road, Farmgate, Dhaka, 1205, Bangladesh; Department of Pharmacy, Life Science Faculty, Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalganj, 8100, Bangladesh; Department of Pharmacy, Faculty of Biological Sciences, University of Chittagong, Chittagong, 4331, Bangladesh","N.A.H.M. Hasan; Department of Pharmacy, School of Medicine, University of Asia Pacific, Dhaka, 74/A, Green Road, Farmgate, 1205, Bangladesh; email: nazmul_0155@yahoo.com",Article,Scopus
32,Vijayaraja K.; William V.J.; Kritheeswar S.; Chrysolin D.; Hari R.S.,37069589700; 58818153300; 58818059400; 58818010400; 58818059500,Numerical and Experimental Analysis of Subsonic Ramjet,2023,International Journal of Vehicle Structures and Systems,0.0,10.4273/ijvss.15.7.09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182595434&doi=10.4273%2fijvss.15.7.09&partnerID=40&md5=d7f7e48fb0be98e64bf6eacc48d644fe,"Dept. of Aeronautical Engg, KCG College of Tech, Tamil Nadu, Chennai, India","V.J. William; Dept. of Aeronautical Engg, KCG College of Tech, Chennai, Tamil Nadu, India; email: 19ae18@kcgcollege.com",Article,Scopus
33,Hakiim A.; Prasetyaningrum A.; Rokhati N.; Djaeni M.,57211684191; 55774140900; 55625997000; 16027817500,Impact of Freeze-Drying Process on Encapsulation of Curcumin: Physicochemical Properties and Release Kinetic Model,2023,Tropical Journal of Natural Product Research,0.0,10.26538/tjnpr/v7i12.28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182188671&doi=10.26538%2ftjnpr%2fv7i12.28&partnerID=40&md5=332b753cd84b9cb18ee8fbc570bf3e50,"Department of Chemical Engineering, University of Diponegoro, PO Box 50275, Semarang, Indonesia","A. Prasetyaningrum; Department of Chemical Engineering, University of Diponegoro, Semarang, PO Box 50275, Indonesia; email: aji.prasetyaningrum@che.undip.ac.id",Article,Scopus
34,Li Y.; Li R.; Xu Y.,55880181200; 58739663400; 57188869418,Design of Online Vision Detection System for Stator Winding Coil,2023,Journal of Donghua University (English Edition),0.0,10.19884/j.1672-5220.202302008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181934373&doi=10.19884%2fj.1672-5220.202302008&partnerID=40&md5=faea3d1302c3191f65416225fabce8dc,"College of Mechanical Engineering, Donghua University, Shanghai, 201620, China","Y. Li; College of Mechanical Engineering, Donghua University, Shanghai, 201620, China; email: liyanly@dhu.edu.cn",Article,Scopus
35,Fang H.; He M.; Jiao C.; Zhang M.; Wang J.,57540336100; 57358530700; 7005530085; 56202830800; 57214696332,Distribution ratio model for extraction of uranium with methyltrioctylammonium carbonate based on carbonate system; [基于碳酸盐环境的甲基三辛基碳酸铵萃取铀的分配比模型],2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,1.0,10.11990/jheu.202309026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184051041&doi=10.11990%2fjheu.202309026&partnerID=40&md5=b7f866c82238ee03d73d5cd5a3abb92c,"College of Nuclear Science and Technology, Harbin Engineering University, Harbin, 150001, China","C. Jiao; College of Nuclear Science and Technology, Harbin Engineering University, Harbin, 150001, China; email: jiaocaishan@163.com",Article,Scopus
36,Hasanah S.N.; Chodidjah C.; Hussaana A.,58809344900; 57195316625; 57194496582,The Potential of UV-B Irradiated Oyster Mushroom (Pleurotus ostreatus) Powder on Plasma Glucose and TNF-α Levels in Type 2 Diabetic Rats,2023,Tropical Journal of Natural Product Research,0.0,10.26538/tjnpr/v7i12.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182249635&doi=10.26538%2ftjnpr%2fv7i12.7&partnerID=40&md5=98dd256a79b47dfda1725f5523802411,"Postgraduate of Biomedical Science, Faculty of Medicine, Universitas Islam Sultan Agung, Semarang, 50112, Indonesia; Department of Anatomy, Faculty of Medicine, Universitas Islam Sultan Agung, Semarang, 50112, Indonesia; Department of Pharmacology, Faculty of Medicine, Universitas Islam Sultan Agung, Semarang, 50112, Indonesia","A. Hussaana; Department of Pharmacology, Faculty of Medicine, Universitas Islam Sultan Agung, Semarang, 50112, Indonesia; email: atinahussaana@unissula.ac.id",Article,Scopus
37,Mujiono,57214727131,The Mediating Role of Verbal Linguistic Intelligence in the Impact of Self-Efficacy and Academic Engagement on Academic Flow in Academic Writing,2023,Journal of Higher Education Theory and Practice,0.0,10.33423/jhetp.v23i20.6694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181894412&doi=10.33423%2fjhetp.v23i20.6694&partnerID=40&md5=140d3fbfb57fde677c5e2b8e1cba81a0,"Universitas PGRI Kanjuruhan, Malang, Indonesia",,Article,Scopus
